"id","date","total revenue","cost of operation","gross profit"
0,"2022-12-31",31615600640,19168299008,12447299584
1,"2021-12-31",29697800192,17332699136,12365200384
2,"2020-12-31",24996100096,15276300288,9719740416
3,"2019-12-31",20156399616,12440200192,7716230144
4,"2018-12-31",15794299904,9967540224,5826800128
5,"2017-12-31",11692699648,7659670016,4033050112
6,"2016-12-31",8830669824,6029899776,2800770048
7,"2015-12-31",6779509760,4591479808,2188039936
8,"2014-12-31",5504659968,3752760064,1751900032
9,"2013-12-31",4374559744,3083259904,1291309952
10,"2012-12-31",3609280000,2625870080,983416000
11,"2011-12-31",3204580096,2039900032,1164679936
12,"2010-12-31",2162619904,1357360000,805270016
13,"2009-12-31",1670269952,1079270016,590998016
14,"2008-12-31",1364659968,910233984,454427008
15,"2007-12-31",1205340032,786168000,419172000
16,"2006-12-31",996659968,626985024,369675008
17,"2005-12-31",682212992,464550016,217663008
18,"2004-12-31",506228000,276457984,229770000
19,"2003-12-31",272243008,148360000,123883000
20,"2002-12-31",152806000,78136000,74670000
21,"2001-12-31",75912000,49907000,26005000
22,"2000-12-31",35894000,24861000,11033000
