"id","date","stock open","stock high","stock low","stock close","market cap"
0,"2022-12-31",286.0,295.0,283.0,295.0,145920000.0
1,"2021-12-31",610.0,614.0,602.0,602.0,131220000.0
2,"2020-12-31",526.0,546.0,523.0,541.0,238890000.0
3,"2019-12-31",322.0,325.0,321.0,324.0,141980000.0
4,"2018-12-31",260.0,270.0,260.0,268.0,116850000.0
5,"2017-12-31",193.0,194.0,191.0,192.0,83060000.0
6,"2016-12-31",126.0,127.0,124.0,124.0,53120000.0
7,"2015-12-31",116.0,117.0,114.0,114.0,48940000.0
8,"2014-12-31",49.0,49.0,49.0,49.0,20630000.0
9,"2013-12-31",52.0,53.0,52.0,53.0,21940000.0
10,"2012-12-31",13.0,13.0,13.0,13.0,5140000.0
11,"2011-12-31",10.0,10.0,10.0,10.0,3630000.0
12,"2010-12-31",26.0,26.0,25.0,25.0,9270000.0
13,"2009-12-31",8.0,8.0,8.0,8.0,2940000.0
14,"2008-12-31",4.0,4.0,4.0,4.0,1750000.0
15,"2007-12-31",4.0,4.0,4.0,4.0,1720000.0
16,"2006-12-31",4.0,4.0,4.0,4.0,1770000.0
17,"2005-12-31",4.0,4.0,4.0,4.0,1480000.0
18,"2004-12-31",2.0,2.0,2.0,2.0,650000.0
19,"2003-12-31",4.0,4.0,4.0,4.0,1120000.0
20,"2002-12-31",1.0,1.0,1.0,1.0,220000.0
